objectid,filename,youtubeid,vimeoid,title,,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,Surher 1.jpg,,,Chicken ,Museo nan Surigao,2016,Chicken made of Bronze,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1959,Image;StillImage,image/jpg,eng,CC BY-NC 4.0,https://creativecommons.org/choose/
coll002,Surher 2.jpg,,,Jars,Museo nan Surigao,2016,The old Jars,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1960,Image;StillImage,image/jpg,eng,CC BY-NC 4.1,https://creativecommons.org/choose/
coll003,Surher 3.jpg,,,Rocks,Museo nan Surigao,2016,The old Rocks,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1961,Image;StillImage,image/jpg,eng,CC BY-NC 4.2,https://creativecommons.org/choose/
coll004,Surher 4.jpg,,,Painted Artwork,Museo nan Surigao,2016,The Painted artworks,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1962,Image;StillImage,image/jpg,eng,CC BY-NC 4.3,https://creativecommons.org/choose/
coll005,Surher 5.jpg,,,Stones,Museo nan Surigao,2016,Internation Collection of Stones,universities;buildings;campuses;picture postcards,"Surigao del Norte, Philippines",,,,SNA_p1_1963,Image;StillImage,image/jpg,eng,CC BY-NC 4.4,https://creativecommons.org/choose/
